"Reference","Value","JLCPCB","Qty"
"AE1","AH316M245001-T","C3285031","1"
"C1,C5","22u 10V","C22387966","2"
"C2,C6,C10,C14,C16,C17,C20,C22,C23,C24,C25,C26","100n 10V X7R","C309458","12"
"C3","220n 275V X2","C489075","1"
"C4","4.7u 400V","C88703","1"
"C7","2.2n 50V X7R","C106861","1"
"C8","470u 10V","C2858856","1"
"C9","22u 35V","C239256","1"
"C11","100n 35V X7R","C14663","1"
"C12","1n 10V X7R","C541372","1"
"C13","2.2n 35V X7R","C106861","1"
"C15","1.2p 10V C0G","C285021","1"
"C18,C19","8p 10V C0G","C237455","2"
"C21","2.2p 10V C0G","C710732","1"
"C27","22u 10v","C22387966","1"
"D1","1A 600V","C2487","1"
"D2,D3,D4","40V 1A","C191023","3"
"D5","Blue, 3V, 10mA","C2288","1"
"D6","Red, 2V, 10mA","C2286","1"
"F1","T500mA 250V","C136377","1"
"J1,J2","Screw_Terminal_01x02","C5188438","2"
"J3","UART","C2691448","1"
"K1","SPST, 5V 72R, 10A 250VAC","OJ-SH-105HM,000","1"
"L1","2×4.7m ≥0.3A ≤2R","C6660027","1"
"L2","3.9 nH","C77109","1"
"NT1,NT2","NetTie_2","","2"
"Q2","NPN, 40V, 500mA","C383232","1"
"R1","100k","C25741","1"
"R2","470R","C25117","1"
"R3,R4,R7,R9,R10","10k","C25744","5"
"R5,R8","330R","C105875","2"
"R6","220R","C25091","1"
"RV1","275V","C125493","1"
"SW1,SW2","SW_Push","C18078070","2"
"T2","Wurth 750370423","750370423","1"
"TH1","10R 25C","C332360","1"
"U1","LM1117IMPX-3.3","C23984","1"
"U2","VIPER06","C501111","1"
"U3","EL3H7","C92243","1"
"U4","TL431","C41283","1"
"U5","ESP32-H2","C22470214","1"
"Y2","32MHz ±10ppm CL8pF","C2965582","1"
